teacher_id,name,email,phone,max_periods_per_week,subjects_qualified
TEACHER_001,Robert Jones,robert.jones@school.edu,+1-555-670-4598,21,"MUS,ART"
TEACHER_002,Lisa Smith,lisa.smith@school.edu,+1-555-924-6168,21,"ENG,MATH"
TEACHER_003,Robert Jones,robert.jones@school.edu,+1-555-680-6155,21,"MATH,ENG"
TEACHER_004,Sarah Davis,sarah.davis@school.edu,+1-555-569-3340,21,"HIST,MUS"
TEACHER_005,Michael Williams,michael.williams@school.edu,+1-555-674-9830,21,"ENG,MUS"
TEACHER_006,Michael Martinez,michael.martinez@school.edu,+1-555-508-6930,21,"HIST,GEO"
TEACHER_007,Sarah Williams,sarah.williams@school.edu,+1-555-193-1771,21,"GEO,HIST"
TEACHER_008,Mary Williams,mary.williams@school.edu,+1-555-911-7916,21,"MUS,ENG"
TEACHER_009,Karen Johnson,karen.johnson@school.edu,+1-555-710-8668,21,"HIST,ART"
TEACHER_010,William Jones,william.jones@school.edu,+1-555-796-2876,21,"GEO,MATH"
TEACHER_011,William Jones,william.jones@school.edu,+1-555-448-2827,21,"ART,MUS"
TEACHER_012,Michael Miller,michael.miller@school.edu,+1-555-103-5315,21,"ENG,HIST"
TEACHER_013,William Williams,william.williams@school.edu,+1-555-991-5889,21,"GEO,MATH"
TEACHER_014,William Martinez,william.martinez@school.edu,+1-555-482-3646,21,"ENG,ART"
TEACHER_015,William Rodriguez,william.rodriguez@school.edu,+1-555-431-9005,21,"MATH,GEO"
TEACHER_016,John Johnson,john.johnson@school.edu,+1-555-345-1949,21,"SCI,ART"
TEACHER_017,Sarah Martinez,sarah.martinez@school.edu,+1-555-849-8962,21,"MATH,ART"
TEACHER_018,Mary Rodriguez,mary.rodriguez@school.edu,+1-555-231-8787,21,"ART,ENG"
TEACHER_019,William Williams,william.williams@school.edu,+1-555-993-7932,21,"SCI,GEO"
TEACHER_020,Sarah Rodriguez,sarah.rodriguez@school.edu,+1-555-806-4295,21,"ART,MUS"
TEACHER_021,Michael Miller,michael.miller@school.edu,+1-555-482-8177,21,"MUS,ART"
TEACHER_022,William Davis,william.davis@school.edu,+1-555-330-2049,21,"MATH,ENG"
TEACHER_023,Lisa Smith,lisa.smith@school.edu,+1-555-335-4608,21,"GEO,ART"
TEACHER_024,John Johnson,john.johnson@school.edu,+1-555-160-4750,21,"MUS,ART"
TEACHER_025,Mary Smith,mary.smith@school.edu,+1-555-172-9423,21,"ART,SCI"
TEACHER_026,Sarah Jones,sarah.jones@school.edu,+1-555-319-9834,21,"MUS,HIST"
TEACHER_027,David Martinez,david.martinez@school.edu,+1-555-348-8749,21,"GEO,HIST"
TEACHER_028,Robert Brown,robert.brown@school.edu,+1-555-774-8062,21,"MATH,ART"
TEACHER_029,Lisa Miller,lisa.miller@school.edu,+1-555-984-1887,21,"HIST,ART"
TEACHER_030,Mary Smith,mary.smith@school.edu,+1-555-447-2790,21,"HIST,MUS"
TEACHER_031,Sarah Brown,sarah.brown@school.edu,+1-555-559-3296,21,"ENG,GEO"
TEACHER_032,Robert Williams,robert.williams@school.edu,+1-555-355-2235,21,"SCI,HIST"
TEACHER_033,Jennifer Rodriguez,jennifer.rodriguez@school.edu,+1-555-767-9856,21,"MATH,ART"
TEACHER_034,John Johnson,john.johnson@school.edu,+1-555-270-7658,21,"ART,ENG"
TEACHER_035,Jennifer Davis,jennifer.davis@school.edu,+1-555-160-3697,21,"ENG,HIST"
TEACHER_036,Robert Smith,robert.smith@school.edu,+1-555-902-8454,21,"HIST,SCI"
TEACHER_037,Michael Miller,michael.miller@school.edu,+1-555-902-8973,21,"MUS,ART"
