assignment_id,teacher_id,teacher_name,class_id,class_name,subject_code,subject_name,periods_per_week,needs_lab
ASSIGN_001,TEACHER_001,Paul Young,CLASS_045,Grade 12B,MUS,Music,2,False
ASSIGN_002,TEACHER_001,Paul Young,CLASS_016,Grade 8A,SCI,Science,6,True
ASSIGN_003,TEACHER_002,Brian Williams,CLASS_012,Grade 7D,HIN,Hindi,4,False
ASSIGN_004,TEACHER_002,Brian Williams,CLASS_004,Grade 6D,HIN,Hindi,4,False
ASSIGN_005,TEACHER_003,Mark Taylor,CLASS_025,Grade 9C,ART,Art,3,False
ASSIGN_006,TEACHER_003,Mark Taylor,CLASS_006,Grade 6F,CS,Computer Science,4,True
ASSIGN_007,TEACHER_004,Sharon Allen,CLASS_022,Grade 8G,FR,French,3,False
ASSIGN_008,TEACHER_004,Sharon Allen,CLASS_029,Grade 9G,FR,French,3,False
ASSIGN_009,TEACHER_005,Lisa Wright,CLASS_019,Grade 8D,HIN,Hindi,4,False
ASSIGN_010,TEACHER_005,Lisa Wright,CLASS_034,Grade 10E,CS,Computer Science,4,True
ASSIGN_011,TEACHER_006,Sarah Gonzalez,CLASS_036,Grade 10G,CS,Computer Science,4,True
ASSIGN_012,TEACHER_006,Sarah Gonzalez,CLASS_013,Grade 7E,FR,French,3,False
ASSIGN_013,TEACHER_007,Ronald Young,CLASS_034,Grade 10E,ART,Art,3,False
ASSIGN_014,TEACHER_007,Ronald Young,CLASS_026,Grade 9D,SS,Social Studies,4,False
ASSIGN_015,TEACHER_008,Sarah Wilson,CLASS_026,Grade 9D,CS,Computer Science,4,True
ASSIGN_016,TEACHER_008,Sarah Wilson,CLASS_030,Grade 10A,MATH,Mathematics,6,False
ASSIGN_017,TEACHER_009,William Jackson,CLASS_006,Grade 6F,MATH,Mathematics,6,False
ASSIGN_018,TEACHER_009,William Jackson,CLASS_040,Grade 11D,ENG,English,5,False
ASSIGN_019,TEACHER_010,Jennifer Johnson,CLASS_032,Grade 10C,CS,Computer Science,4,True
ASSIGN_020,TEACHER_010,Jennifer Johnson,CLASS_042,Grade 11F,HIN,Hindi,4,False
ASSIGN_021,TEACHER_011,James Martin,CLASS_023,Grade 9A,MUS,Music,2,False
ASSIGN_022,TEACHER_011,James Martin,CLASS_020,Grade 8E,SCI,Science,6,True
ASSIGN_023,TEACHER_012,Brian Clark,CLASS_002,Grade 6B,PE,Physical Education,3,False
ASSIGN_024,TEACHER_012,Brian Clark,CLASS_014,Grade 7F,MATH,Mathematics,6,False
ASSIGN_025,TEACHER_013,Jennifer Robinson,CLASS_044,Grade 12A,MATH,Mathematics,6,False
ASSIGN_026,TEACHER_013,Jennifer Robinson,CLASS_033,Grade 10D,CS,Computer Science,4,True
ASSIGN_027,TEACHER_014,Kenneth Jackson,CLASS_007,Grade 6G,FR,French,3,False
ASSIGN_028,TEACHER_014,Kenneth Jackson,CLASS_031,Grade 10B,ENG,English,5,False
