assignment_id,teacher_id,teacher_name,class_id,class_name,subject_code,subject_name,periods_per_week,needs_lab
ASSIGN_001,TEACHER_001,Dorothy Torres,CLASS_008,Grade 8B,HIN,Hindi,4,False
ASSIGN_002,TEACHER_001,Dorothy Torres,CLASS_002,Grade 6B,MATH,Mathematics,6,False
ASSIGN_003,TEACHER_002,Joshua Clark,CLASS_002,Grade 6B,FR,French,3,False
ASSIGN_004,TEACHER_002,Joshua Clark,CLASS_007,Grade 8A,MATH,Mathematics,6,False
ASSIGN_005,TEACHER_003,Robert Ramirez,CLASS_010,Grade 9A,HIN,Hindi,4,False
ASSIGN_006,TEACHER_003,Robert Ramirez,CLASS_007,Grade 8A,FR,French,3,False
ASSIGN_007,TEACHER_004,Paul Robinson,CLASS_009,Grade 8C,MUS,Music,2,False
ASSIGN_008,TEACHER_004,Paul Robinson,CLASS_011,Grade 9B,PE,Physical Education,3,False
ASSIGN_009,TEACHER_005,Nancy Miller,CLASS_014,Grade 10B,SCI,Science,6,True
ASSIGN_010,TEACHER_005,Nancy Miller,CLASS_008,Grade 8B,FR,French,3,False
ASSIGN_011,TEACHER_006,Carol Miller,CLASS_001,Grade 6A,CS,Computer Science,4,True
ASSIGN_012,TEACHER_006,Carol Miller,CLASS_005,Grade 7B,SS,Social Studies,4,False
ASSIGN_013,TEACHER_007,Christopher Wright,CLASS_005,Grade 7B,PE,Physical Education,3,False
ASSIGN_014,TEACHER_007,Christopher Wright,CLASS_014,Grade 10B,HIN,Hindi,4,False
ASSIGN_015,TEACHER_008,Michelle Lopez,CLASS_002,Grade 6B,ART,Art,3,False
ASSIGN_016,TEACHER_008,Michelle Lopez,CLASS_009,Grade 8C,SCI,Science,6,True
ASSIGN_017,TEACHER_009,Helen Jones,CLASS_004,Grade 7A,HIN,Hindi,4,False
ASSIGN_018,TEACHER_009,Helen Jones,CLASS_012,Grade 9C,MATH,Mathematics,6,False
ASSIGN_019,TEACHER_010,Sarah Wright,CLASS_005,Grade 7B,FR,French,3,False
ASSIGN_020,TEACHER_010,Sarah Wright,CLASS_003,Grade 6C,ENG,English,5,False
ASSIGN_021,TEACHER_011,Lisa Thomas,CLASS_004,Grade 7A,PE,Physical Education,3,False
ASSIGN_022,TEACHER_011,Lisa Thomas,CLASS_012,Grade 9C,ART,Art,3,False
ASSIGN_023,TEACHER_012,Kenneth Walker,CLASS_012,Grade 9C,SCI,Science,6,True
ASSIGN_024,TEACHER_012,Kenneth Walker,CLASS_013,Grade 10A,CS,Computer Science,4,True
ASSIGN_025,TEACHER_013,Sarah Hernandez,CLASS_006,Grade 7C,SS,Social Studies,4,False
ASSIGN_026,TEACHER_013,Sarah Hernandez,CLASS_002,Grade 6B,SS,Social Studies,4,False
ASSIGN_027,TEACHER_014,Steven Taylor,CLASS_010,Grade 9A,CS,Computer Science,4,True
ASSIGN_028,TEACHER_014,Steven Taylor,CLASS_008,Grade 8B,PE,Physical Education,3,False
ASSIGN_029,TEACHER_015,Anthony Ramirez,CLASS_007,Grade 8A,SCI,Science,6,True
ASSIGN_030,TEACHER_015,Anthony Ramirez,CLASS_005,Grade 7B,MUS,Music,2,False
ASSIGN_031,TEACHER_016,Karen Gonzalez,CLASS_011,Grade 9B,MATH,Mathematics,6,False
ASSIGN_032,TEACHER_016,Karen Gonzalez,CLASS_011,Grade 9B,SCI,Science,6,True
ASSIGN_033,TEACHER_017,Sarah Nguyen,CLASS_013,Grade 10A,MUS,Music,2,False
ASSIGN_034,TEACHER_017,Sarah Nguyen,CLASS_010,Grade 9A,FR,French,3,False
ASSIGN_035,TEACHER_018,Sarah Lee,CLASS_003,Grade 6C,ART,Art,3,False
