teacher_id,name,email,phone,max_periods_per_day,max_periods_per_week,subjects_qualified
TEACHER_001,Paul Young,paul.young@school.edu,+1-555-395-7561,6,30,"MUS,SCI"
TEACHER_002,Brian Williams,brian.williams@school.edu,+1-555-565-2442,6,30,HIN
TEACHER_003,Mark Taylor,mark.taylor@school.edu,+1-555-431-2899,6,30,"ART,CS"
TEACHER_004,Sharon Allen,sharon.allen@school.edu,+1-555-944-1018,6,30,FR
TEACHER_005,Lisa Wright,lisa.wright@school.edu,+1-555-573-7770,6,30,"HIN,CS"
TEACHER_006,Sarah Gonzalez,sarah.gonzalez@school.edu,+1-555-630-6927,6,30,"CS,FR"
TEACHER_007,Ronald Young,ronald.young@school.edu,+1-555-740-8242,6,30,"ART,SS"
TEACHER_008,Sarah Wilson,sarah.wilson@school.edu,+1-555-373-9998,6,30,"CS,MATH"
TEACHER_009,William Jackson,william.jackson@school.edu,+1-555-548-8941,6,30,"MATH,ENG"
TEACHER_010,Jennifer Johnson,jennifer.johnson@school.edu,+1-555-745-4920,6,30,"CS,HIN"
TEACHER_011,James Martin,james.martin@school.edu,+1-555-664-1224,6,30,"MUS,SCI"
TEACHER_012,Brian Clark,brian.clark@school.edu,+1-555-195-4681,6,30,"PE,MATH"
TEACHER_013,Jennifer Robinson,jennifer.robinson@school.edu,+1-555-220-3522,6,30,"MATH,CS"
TEACHER_014,Kenneth Jackson,kenneth.jackson@school.edu,+1-555-621-5479,6,30,"FR,ENG"
TEACHER_015,Paul Walker,paul.walker@school.edu,+1-555-583-4993,6,30,"ENG,SCI"
TEACHER_016,Laura Scott,laura.scott@school.edu,+1-555-248-7284,6,30,"CS,HIN"
TEACHER_017,Christopher Hill,christopher.hill@school.edu,+1-555-620-3236,6,30,"HIN,FR"
TEACHER_018,Michael Moore,michael.moore@school.edu,+1-555-891-7798,6,30,"ART,CS"
TEACHER_019,Carol Allen,carol.allen@school.edu,+1-555-373-1042,6,30,MUS
TEACHER_020,Anthony Martin,anthony.martin@school.edu,+1-555-957-9022,6,30,"SS,ART"
TEACHER_021,Karen Lewis,karen.lewis@school.edu,+1-555-651-8935,6,30,MATH
TEACHER_022,Donald Perez,donald.perez@school.edu,+1-555-665-9903,6,30,"ART,ENG"
TEACHER_023,Steven Robinson,steven.robinson@school.edu,+1-555-429-4090,6,30,"SS,MATH"
TEACHER_024,Karen Thomas,karen.thomas@school.edu,+1-555-685-7274,6,30,"MUS,ENG"
TEACHER_025,Daniel Clark,daniel.clark@school.edu,+1-555-144-6213,6,30,"FR,HIN"
TEACHER_026,Joshua Harris,joshua.harris@school.edu,+1-555-495-3492,6,30,"SS,PE"
TEACHER_027,Kenneth Williams,kenneth.williams@school.edu,+1-555-229-9229,6,30,"MUS,SCI"
TEACHER_028,George Perez,george.perez@school.edu,+1-555-990-2644,6,30,"MATH,PE"
TEACHER_029,Andrew Miller,andrew.miller@school.edu,+1-555-638-8486,6,30,"SS,ENG"
TEACHER_030,John Martinez,john.martinez@school.edu,+1-555-519-3529,6,30,"SCI,PE"
TEACHER_031,Michael Walker,michael.walker@school.edu,+1-555-900-5342,6,30,"MUS,HIN"
TEACHER_032,Carol Flores,carol.flores@school.edu,+1-555-809-7512,6,30,"ENG,HIN"
TEACHER_033,Betty Garcia,betty.garcia@school.edu,+1-555-972-6383,6,30,"CS,FR"
TEACHER_034,Nancy Wright,nancy.wright@school.edu,+1-555-489-6188,6,30,"CS,HIN"
TEACHER_035,Timothy Young,timothy.young@school.edu,+1-555-993-9864,6,30,"PE,SS"
TEACHER_036,David Flores,david.flores@school.edu,+1-555-170-4846,6,30,"ART,HIN"
TEACHER_037,Timothy Jackson,timothy.jackson@school.edu,+1-555-332-2480,6,30,"ENG,MUS"
TEACHER_038,Michelle Miller,michelle.miller@school.edu,+1-555-878-2646,6,30,"ENG,HIN"
TEACHER_039,Andrew Hernandez,andrew.hernandez@school.edu,+1-555-810-5906,6,30,"ENG,FR"
TEACHER_040,Mary Williams,mary.williams@school.edu,+1-555-432-1919,6,30,"CS,MUS"
TEACHER_041,Anthony Thompson,anthony.thompson@school.edu,+1-555-483-8056,6,30,"ART,HIN"
TEACHER_042,Karen Thomas,karen.thomas@school.edu,+1-555-643-7751,6,30,"HIN,FR"
TEACHER_043,Dorothy Lopez,dorothy.lopez@school.edu,+1-555-274-3868,6,30,"PE,CS"
TEACHER_044,Lisa Flores,lisa.flores@school.edu,+1-555-991-7267,6,30,MATH
TEACHER_045,Ronald Thomas,ronald.thomas@school.edu,+1-555-609-3344,6,30,"MATH,PE"
TEACHER_046,Daniel Robinson,daniel.robinson@school.edu,+1-555-753-5161,6,30,MUS
TEACHER_047,Laura Taylor,laura.taylor@school.edu,+1-555-782-1153,6,30,"CS,MUS"
TEACHER_048,Laura Jackson,laura.jackson@school.edu,+1-555-793-9955,6,30,"SS,ENG"
TEACHER_049,James Jones,james.jones@school.edu,+1-555-552-6661,6,30,"MATH,SCI"
TEACHER_050,George Martin,george.martin@school.edu,+1-555-754-7951,6,30,"PE,SS"
TEACHER_051,Karen Taylor,karen.taylor@school.edu,+1-555-567-5949,6,30,"MUS,FR"
TEACHER_052,Christopher Harris,christopher.harris@school.edu,+1-555-973-8916,6,30,"MATH,ART"
TEACHER_053,Robert Thomas,robert.thomas@school.edu,+1-555-490-6881,6,30,"SS,ART"
TEACHER_054,Dorothy Jackson,dorothy.jackson@school.edu,+1-555-816-5837,6,30,"SS,SCI"
TEACHER_055,Mary Sanchez,mary.sanchez@school.edu,+1-555-381-1132,6,30,"PE,MUS"
TEACHER_056,Dorothy Brown,dorothy.brown@school.edu,+1-555-720-9138,6,30,"PE,ENG"
TEACHER_057,Anthony Anderson,anthony.anderson@school.edu,+1-555-721-6772,6,30,"HIN,FR"
TEACHER_058,Daniel Gonzalez,daniel.gonzalez@school.edu,+1-555-735-5106,6,30,"MATH,ART"
TEACHER_059,Nancy Rodriguez,nancy.rodriguez@school.edu,+1-555-743-2591,6,30,"CS,HIN"
TEACHER_060,Timothy Williams,timothy.williams@school.edu,+1-555-416-8222,6,30,"ART,FR"
TEACHER_061,David Nguyen,david.nguyen@school.edu,+1-555-473-3153,6,30,"MUS,PE"
TEACHER_062,Lisa Jackson,lisa.jackson@school.edu,+1-555-434-7807,6,30,"MATH,CS"
TEACHER_063,Nancy Gonzalez,nancy.gonzalez@school.edu,+1-555-235-9837,6,30,"FR,SS"
TEACHER_064,Ruth King,ruth.king@school.edu,+1-555-613-5465,6,30,"HIN,ENG"
TEACHER_065,James Taylor,james.taylor@school.edu,+1-555-944-8894,6,30,"SCI,ENG"
TEACHER_066,Anthony Perez,anthony.perez@school.edu,+1-555-923-2886,6,30,"SCI,MUS"
TEACHER_067,Laura Jones,laura.jones@school.edu,+1-555-244-4696,6,30,"ENG,ART"
TEACHER_068,Nancy Sanchez,nancy.sanchez@school.edu,+1-555-966-6992,6,30,"PE,FR"
TEACHER_069,Lisa Sanchez,lisa.sanchez@school.edu,+1-555-114-5332,6,30,"PE,SCI"
TEACHER_070,Deborah Davis,deborah.davis@school.edu,+1-555-565-7038,6,30,"FR,HIN"
TEACHER_071,Nancy Taylor,nancy.taylor@school.edu,+1-555-698-7242,6,30,"FR,ENG"
TEACHER_072,Timothy White,timothy.white@school.edu,+1-555-210-4830,6,30,"PE,HIN"
TEACHER_073,Joshua Johnson,joshua.johnson@school.edu,+1-555-734-6374,6,30,"PE,MATH"
TEACHER_074,Ronald Anderson,ronald.anderson@school.edu,+1-555-763-2035,6,30,"MATH,ENG"
TEACHER_075,Timothy Robinson,timothy.robinson@school.edu,+1-555-817-5951,6,30,"SCI,MATH"
TEACHER_076,Betty Clark,betty.clark@school.edu,+1-555-219-3290,6,30,"ART,SCI"
TEACHER_077,David Williams,david.williams@school.edu,+1-555-411-9071,6,30,"HIN,SS"
TEACHER_078,Jennifer Miller,jennifer.miller@school.edu,+1-555-340-9807,6,30,"SCI,FR"
TEACHER_079,William Harris,william.harris@school.edu,+1-555-564-7078,6,30,"ENG,SCI"
TEACHER_080,Lisa Wright,lisa.wright@school.edu,+1-555-529-3531,6,30,"ENG,HIN"
TEACHER_081,Paul Miller,paul.miller@school.edu,+1-555-953-9017,6,30,"PE,ART"
TEACHER_082,Ronald Clark,ronald.clark@school.edu,+1-555-386-1536,6,30,"MATH,ENG"
TEACHER_083,Karen White,karen.white@school.edu,+1-555-322-8264,6,30,"SCI,MUS"
TEACHER_084,Andrew Thomas,andrew.thomas@school.edu,+1-555-975-6942,6,30,MATH
TEACHER_085,Robert White,robert.white@school.edu,+1-555-657-6876,6,30,"MATH,SCI"
TEACHER_086,Sarah Sanchez,sarah.sanchez@school.edu,+1-555-382-4109,6,30,"ENG,FR"
TEACHER_087,Jennifer Robinson,jennifer.robinson@school.edu,+1-555-193-4475,6,30,"PE,SS"
TEACHER_088,Betty Hill,betty.hill@school.edu,+1-555-121-1828,6,30,"SCI,PE"
TEACHER_089,Carol Thomas,carol.thomas@school.edu,+1-555-228-4362,6,30,"ENG,FR"
TEACHER_090,Michael Scott,michael.scott@school.edu,+1-555-312-4538,6,30,"FR,PE"
TEACHER_091,Daniel Perez,daniel.perez@school.edu,+1-555-892-3417,6,30,"PE,ART"
TEACHER_092,Edward Smith,edward.smith@school.edu,+1-555-383-3370,6,30,"ENG,HIN"
TEACHER_093,William Wright,william.wright@school.edu,+1-555-356-3858,6,30,"HIN,ART"
TEACHER_094,Jennifer Johnson,jennifer.johnson@school.edu,+1-555-234-1243,6,30,"MUS,ART"
TEACHER_095,Donald Thomas,donald.thomas@school.edu,+1-555-702-6304,6,30,"SCI,FR"
TEACHER_096,Mary Lopez,mary.lopez@school.edu,+1-555-371-1858,6,30,"MUS,CS"
TEACHER_097,William Clark,william.clark@school.edu,+1-555-638-2862,6,30,PE
TEACHER_098,Michael Walker,michael.walker@school.edu,+1-555-559-6931,6,30,"FR,CS"
TEACHER_099,Kimberly Nguyen,kimberly.nguyen@school.edu,+1-555-211-8405,6,30,"MUS,PE"
TEACHER_100,Kimberly Anderson,kimberly.anderson@school.edu,+1-555-729-1710,6,30,"CS,SCI"
TEACHER_101,Lisa King,lisa.king@school.edu,+1-555-408-8504,6,30,"SCI,FR"
TEACHER_102,Betty Johnson,betty.johnson@school.edu,+1-555-162-8847,6,30,"MATH,FR"
TEACHER_103,Sharon Ramirez,sharon.ramirez@school.edu,+1-555-802-2768,6,30,CS
TEACHER_104,Kenneth Lewis,kenneth.lewis@school.edu,+1-555-175-2323,6,30,"HIN,SS"
TEACHER_105,Mark Hill,mark.hill@school.edu,+1-555-251-2076,6,30,"ENG,PE"
TEACHER_106,William Moore,william.moore@school.edu,+1-555-739-9984,6,30,"MUS,HIN"
TEACHER_107,Mark Harris,mark.harris@school.edu,+1-555-711-9692,6,30,"FR,ENG"
TEACHER_108,Anthony Robinson,anthony.robinson@school.edu,+1-555-617-8048,6,30,"MATH,SS"
TEACHER_109,Robert Davis,robert.davis@school.edu,+1-555-973-4522,6,30,"MATH,SCI"
TEACHER_110,Michelle Lewis,michelle.lewis@school.edu,+1-555-333-7779,6,30,"MUS,CS"
TEACHER_111,Carol Robinson,carol.robinson@school.edu,+1-555-508-7815,6,30,"MATH,ART"
TEACHER_112,Robert Lee,robert.lee@school.edu,+1-555-537-6120,6,30,"MATH,SS"
TEACHER_113,Lisa Taylor,lisa.taylor@school.edu,+1-555-483-3500,6,30,"MATH,SCI"
TEACHER_114,Nancy Walker,nancy.walker@school.edu,+1-555-168-2494,6,30,"MUS,FR"
TEACHER_115,Lisa Garcia,lisa.garcia@school.edu,+1-555-542-2582,6,30,"ART,ENG"
TEACHER_116,Ruth Rodriguez,ruth.rodriguez@school.edu,+1-555-669-1982,6,30,"HIN,MUS"
TEACHER_117,George Scott,george.scott@school.edu,+1-555-675-6400,6,30,"ART,MUS"
TEACHER_118,Lisa Davis,lisa.davis@school.edu,+1-555-520-6793,6,30,"MATH,CS"
TEACHER_119,Lisa Ramirez,lisa.ramirez@school.edu,+1-555-988-1842,6,30,"MUS,SS"
TEACHER_120,Anthony Hill,anthony.hill@school.edu,+1-555-419-6761,6,30,"PE,FR"
TEACHER_121,Robert Torres,robert.torres@school.edu,+1-555-619-4485,6,30,SS
TEACHER_122,Karen Walker,karen.walker@school.edu,+1-555-329-2773,6,30,"SS,ENG"
