teacher_id,name,email,phone,max_periods_per_day,max_periods_per_week,subjects_qualified
TEACHER_001,Dorothy Torres,dorothy.torres@school.edu,+1-555-584-4981,6,30,"HIN,MATH"
TEACHER_002,Joshua Clark,joshua.clark@school.edu,+1-555-294-2545,6,30,"FR,MATH"
TEACHER_003,Robert Ramirez,robert.ramirez@school.edu,+1-555-462-7939,6,30,"HIN,FR"
TEACHER_004,Paul Robinson,paul.robinson@school.edu,+1-555-984-1887,6,30,"MUS,PE"
TEACHER_005,Nancy Miller,nancy.miller@school.edu,+1-555-162-7596,6,30,"SCI,FR"
TEACHER_006,Carol Miller,carol.miller@school.edu,+1-555-354-4139,6,30,"CS,SS"
TEACHER_007,Christopher Wright,christopher.wright@school.edu,+1-555-559-3296,6,30,"PE,HIN"
TEACHER_008,Michelle Lopez,michelle.lopez@school.edu,+1-555-385-8579,6,30,"ART,SCI"
TEACHER_009,Helen Jones,helen.jones@school.edu,+1-555-553-2604,6,30,"HIN,MATH"
TEACHER_010,Sarah Wright,sarah.wright@school.edu,+1-555-956-1241,6,30,"FR,ENG"
TEACHER_011,Lisa Thomas,lisa.thomas@school.edu,+1-555-270-7658,6,30,"PE,ART"
TEACHER_012,Kenneth Walker,kenneth.walker@school.edu,+1-555-318-7570,6,30,"SCI,CS"
TEACHER_013,Sarah Hernandez,sarah.hernandez@school.edu,+1-555-488-1035,6,30,SS
TEACHER_014,Steven Taylor,steven.taylor@school.edu,+1-555-902-8454,6,30,"CS,PE"
TEACHER_015,Anthony Ramirez,anthony.ramirez@school.edu,+1-555-813-8973,6,30,"SCI,MUS"
TEACHER_016,Karen Gonzalez,karen.gonzalez@school.edu,+1-555-403-4566,6,30,"MATH,SCI"
TEACHER_017,Sarah Nguyen,sarah.nguyen@school.edu,+1-555-853-9883,6,30,"MUS,FR"
TEACHER_018,Sarah Lee,sarah.lee@school.edu,+1-555-158-1821,6,30,"ART,SS"
TEACHER_019,George Walker,george.walker@school.edu,+1-555-614-9701,6,30,"MATH,ENG"
TEACHER_020,James Brown,james.brown@school.edu,+1-555-620-2312,6,30,"HIN,PE"
TEACHER_021,Nancy Jones,nancy.jones@school.edu,+1-555-709-2113,6,30,"SCI,ENG"
TEACHER_022,Nancy Thomas,nancy.thomas@school.edu,+1-555-513-2964,6,30,"MATH,CS"
TEACHER_023,Dorothy Thomas,dorothy.thomas@school.edu,+1-555-692-1651,6,30,"SS,CS"
TEACHER_024,Ronald Garcia,ronald.garcia@school.edu,+1-555-529-9565,6,30,"CS,SCI"
TEACHER_025,Mark Taylor,mark.taylor@school.edu,+1-555-309-6147,6,30,"ENG,HIN"
TEACHER_026,Helen Taylor,helen.taylor@school.edu,+1-555-505-3144,6,30,"MUS,ART"
TEACHER_027,Lisa Martin,lisa.martin@school.edu,+1-555-568-6180,6,30,"MATH,SS"
TEACHER_028,Michael Smith,michael.smith@school.edu,+1-555-569-2638,6,30,"SS,FR"
TEACHER_029,Michael Wright,michael.wright@school.edu,+1-555-318-9288,6,30,"PE,ART"
TEACHER_030,Matthew Rodriguez,matthew.rodriguez@school.edu,+1-555-457-2127,6,30,"ENG,FR"
TEACHER_031,Helen White,helen.white@school.edu,+1-555-391-3584,6,30,"ART,MATH"
TEACHER_032,Andrew Wright,andrew.wright@school.edu,+1-555-820-5956,6,30,"SCI,MUS"
TEACHER_033,Ronald King,ronald.king@school.edu,+1-555-108-5905,6,30,"PE,MUS"
TEACHER_034,Lisa Miller,lisa.miller@school.edu,+1-555-999-3200,6,30,"HIN,MATH"
TEACHER_035,Matthew Davis,matthew.davis@school.edu,+1-555-209-3546,6,30,"FR,CS"
TEACHER_036,Sandra Jackson,sandra.jackson@school.edu,+1-555-719-4450,6,30,"SS,ART"
TEACHER_037,Carol Wilson,carol.wilson@school.edu,+1-555-803-5325,6,30,"FR,SCI"
TEACHER_038,Kimberly Young,kimberly.young@school.edu,+1-555-357-1832,6,30,PE
TEACHER_039,Lisa Ramirez,lisa.ramirez@school.edu,+1-555-949-5533,6,30,CS
TEACHER_040,David Smith,david.smith@school.edu,+1-555-441-3143,6,30,"SCI,ART"
TEACHER_041,Timothy Taylor,timothy.taylor@school.edu,+1-555-265-8239,6,30,"PE,HIN"
TEACHER_042,Brian Ramirez,brian.ramirez@school.edu,+1-555-674-1158,6,30,SS
TEACHER_043,Jennifer Jones,jennifer.jones@school.edu,+1-555-136-7049,6,30,"SCI,HIN"
TEACHER_044,George Scott,george.scott@school.edu,+1-555-230-1685,6,30,"SCI,ART"
TEACHER_045,Donna White,donna.white@school.edu,+1-555-315-5088,6,30,"MATH,PE"
TEACHER_046,Lisa Miller,lisa.miller@school.edu,+1-555-995-7658,6,30,"PE,HIN"
